distance_aligned,event_type,orientation,length,width,depth,joint_number,comments,year
24343.599,metal loss,27.5,10.3,3.6,10.0,6680,,2022
2111.266,metal loss,358.5,2.0,0.8,19.0,720,,2022
41787.805,metal loss,113.0,10.6,5.7,20.0,11590,,2022
43813.852,metal loss,225.0,1.7,1.1,13.0,12160,,2022
16745.561,metal loss,53.0,1.2,1.7,22.0,4710,,2022
15302.343,metal loss,150.5,2.3,2.9,19.0,4260,,2022
45830.584,metal loss,101.0,16.3,2.1,17.0,12700,,2022
23065.256,metal loss,197.0,23.4,7.1,36.0,6350,,2022
2255.696,metal loss,182.5,15.6,2.2,22.0,750,,2022
12141.325,metal loss,196.5,4.8,1.6,11.0,3350,,2022
40860.138,metal loss,286.5,3.4,2.1,14.0,11350,,2022
29540.085,metal loss,213.5,2.2,3.2,22.0,8060,,2022
2242.293,metal loss,178.5,1.2,1.0,32.0,750,,2022
44126.417,metal loss,249.5,4.8,3.0,16.0,12240,,2022
1191.788,metal loss,130.0,6.1,2.9,13.0,480,,2022
5325.469,metal loss,167.0,6.9,2.8,37.0,1560,,2022
1195.889,metal loss,134.5,0.7,2.2,13.0,480,,2022
57023.507,metal loss,286.5,5.2,2.3,17.0,15910,,2022
43817.477,metal loss,227.0,1.3,1.6,16.0,12160,,2022
44139.961,metal loss,116.0,2.8,3.7,21.0,12240,,2022
23237.969,metal loss,45.5,2.6,1.7,17.0,6400,,2022
44858.317,metal loss,238.0,1.9,1.3,11.0,12430,,2022
33884.898,metal loss,351.0,1.0,1.2,28.0,9370,,2022
46309.475,metal loss,192.5,3.1,2.2,17.0,12830,,2022
55624.406,metal loss,44.5,9.7,2.1,13.0,15490,,2022
28055.436,metal loss,227.5,4.1,1.7,19.0,7670,,2022
7662.677,metal loss,287.5,9.1,3.6,33.0,2170,,2022
46369.619,metal loss,111.0,9.3,3.4,21.0,12840,,2022
46898.976,metal loss,331.5,1.9,2.7,14.0,13000,,2022
45313.392,metal loss,99.0,18.1,4.6,26.0,12550,,2022
40512.897,metal loss,57.0,3.3,1.7,11.0,11240,,2022
46204.436,metal loss,153.0,2.2,2.4,28.0,12800,,2022
43835.016,metal loss,104.5,3.7,1.5,14.0,12160,,2022
572.487,metal loss,180.5,2.8,2.3,11.0,250,,2022
44933.11,metal loss,124.0,9.8,3.2,12.0,12450,,2022
22090.341,metal loss,257.0,5.0,5.7,15.0,6100,,2022
44129.124,metal loss,115.0,2.0,2.5,14.0,12240,,2022
10463.402,metal loss,144.0,5.3,3.7,12.0,2920,,2022
44078.058,metal loss,203.0,4.0,1.5,11.0,12230,,2022
3416.762,metal loss,170.0,2.7,3.7,26.0,1070,,2022
44886.68,metal loss,35.5,1.0,1.3,16.0,12430,,2022
4622.789,metal loss,170.0,4.2,5.4,36.0,1370,,2022
4933.458,metal loss,247.0,13.7,3.1,13.0,1450,,2022
44809.747,metal loss,200.0,1.5,1.5,18.0,12410,,2022
41647.677,metal loss,307.0,10.5,2.6,26.0,11550,,2022
52453.776,metal loss,128.5,2.5,2.9,20.0,14680,,2022
6588.264,metal loss,177.5,5.5,1.5,10.0,1890,,2022
44122.946,metal loss,296.0,1.7,1.5,37.0,12240,,2022
14116.047,metal loss,259.5,5.8,3.0,12.0,3890,,2022
23078.442,metal loss,122.0,6.0,2.4,14.0,6360,,2022
